id,text,author
id26305,process however afforded means ascertaining dimensions dungeon might make circuit return point whence set without aware fact perfectly uniform seemed wall,EAP
id17569,never occurred fumbling might mere mistake,HPL
id11008,left hand gold snuff box capered hill cutting manner fantastic steps took snuff incessantly air greatest possible self satisfaction,EAP
id27763,lovely spring looked windsor terrace sixteen fertile counties spread beneath speckled happy cottages wealthier towns looked former years heart cheering fair,MWS
id12958,finding nothing else even gold superintendent abandoned attempts perplexed look occasionally steals countenance sits thinking desk,HPL
id22965,youth passed solitude best years spent gentle feminine fosterage refined groundwork character overcome intense distaste usual brutality exercised board ship never believed necessary heard mariner equally noted kindliness heart respect obedience paid crew felt peculiarly fortunate able secure services,MWS
id09674,astronomer perhaps point took refuge suggestion non luminosity analogy suddenly let fall,EAP
id13515,surcingle hung ribands body,EAP
id19322,knew could say stereotomy without brought think atomies thus theories epicurus since discussed subject long ago mentioned singularly yet little notice vague guesses noble greek met confirmation late nebular cosmogony felt could avoid casting eyes upward great nebula orion certainly expected would,EAP
id00912,confess neither structure languages code governments politics various states possessed attractions,MWS
id16737,shall find feel injuries shall learn dread revenge days arrived,MWS
id16607,barricaded present secure,EAP
id19764,herbert west needed fresh bodies life work reanimation dead,HPL
id18886,farm like grounds extended back deeply hill almost wheaton street,HPL
id17189,glance show fallacy idea,EAP
id12799,escaped must commence destructive almost endless journey across mountainous ices ocean amidst cold inhabitants could long endure native genial sunny climate could hope survive,MWS
id08441,speeches gave course interpretation fancying doubt events come possession vast quantities ready money provided paid owed trifle consideration services dare say cared little became either soul carcass,EAP
id13117,native sprightliness needed undue excitement placid heart reposed contented love well children beauty surrounding nature,MWS
id14862,even went far speak slightly hectic cough one time troubled chronic rheumatism twinge hereditary gout conclusion disagreeable inconvenient hitherto carefully concealed weakness eyes,EAP
id20836,facial aspect remarkable maturity though shared mothers grandfathers chinlessness firm precociously shaped nose united expression large dark almost latin eyes give air quasi adulthood well nigh preternatural intelligence,HPL
id11411,net work permanently fastened hoop attached series running loops nooses,EAP
id08075,sounds hideous held vibrations suggesting nothing globe earth certain intervals assumed symphonic quality could hardly conceive produced one player,HPL
id18925,every hand wilderness balconies verandas minarets shrines fantastically carved oriels,EAP
id19925,deep spirit wonder perplexity wont regard remote pew gallery step solemn slow ascended pulpit reverend man countenance demurely benign robes glossy clerically flowing wig minutely powdered rigid vast could late sour visage snuffy habiliments administered ferule hand draconian laws academy,EAP
id01704,bizarre attempts explanation followed others equally bizarre,EAP
id10125,many prodigies signs taken place far wide sea land black wings pestilence spread abroad,EAP
id02448,yet fairly said known pure gold made readily lead connection certain substances kind proportions unknown speculation course busy immediate ultimate results discovery discovery thinking persons hesitate referring increased interest matter gold generally late developments california reflection brings us inevitably another exceeding inopportuneness von kempelens analysis,EAP
id23451,seemed upon verge comprehension without power comprehend men times find upon brink remembrance without able end remember,EAP
id27907,compasses depth gauges delicate instruments ruined henceforth reckoning would guesswork based watches calendar apparent drift judged objects might spy portholes conning tower,HPL
id08121,young warriors took back sarnath symbol conquest old gods beings ib sign leadership mnar,HPL
id15222,meantime whole paradise arnheim bursts upon view,EAP
id00764,rich young guardian appointed would act one great society must keep secret really cut ever,MWS
id00683,could make little dim light seemed contain prophecies detailed relations events lately passed names well known modern date often exclamations exultation woe victory defeat traced thin scant pages,MWS
id11733,even talked tombs,HPL
id03205,sheehan especially ply inquiries yet without eliciting information value concerning old bugs,HPL
id01948,cried aloud little later gave gasp terrible cry,HPL
id22412,old tracks crossed river street grade veered region increasingly rural less less innsmouths abhorrent fishy odour,HPL
id05258,soul overflowed ardent affections friendship devoted wondrous nature world minded teach us look imagination,MWS
id00144,first start replaced tissue wrapping around portrait shield sordidness place,HPL
id19576,present peculiar condition affairs court especially intrigues known involved would render instant availability document susceptibility produced moments notice point nearly equal importance possession,EAP
id01577,wilburs growth indeed phenomenal within three months birth attained size muscular power usually found infants full year age,HPL
id01651,pausing succeeded difficulty raising whereupon revealed black aperture exhaling noxious fumes caused torch sputter disclosing unsteady glare top flight stone steps,HPL
id27080,mud water sky dark rain wipin aout tracks abaout fast could beginnin glen maouth whar trees moved still awful prints big barls like seen monday,HPL
id20751,visits merrival windsor frequent suddenly ceased,MWS
id21136,supposed however great underduk suffered impertinence part little old man pass impunity,EAP
id10279,need tell sceptical hitherto topic souls immortality,EAP
id12683,often compared finding chief superiority consisted power soon persuaded power inferior chiefest potentates earth,MWS
id19180,childrens children newcomers children grew,HPL
id02236,dr johnson beheld full pursy man ill drest slovenly aspect,HPL
id11523,presently murmur water fell gently upon ear moments afterward turned road somewhat abruptly hitherto became aware building kind lay foot gentle declivity,EAP
id22530,ellison remarkable continuous profusion good gifts lavished upon fortune,EAP
id22197,still continued plane elipse made little progress eastward,EAP
id24941,useless provide many things find abundant provision every town,MWS
id15218,fly quickly snow sledges motion pleasant opinion far agreeable english stagecoach,MWS
id02164,pointed spot disappeared followed track boats nets cast vain,MWS
id17654,indistinct recollections great storm time reached boat rate know heard peals thunder tones nature utters wildest moods,HPL
id20824,seemed one courtyard hoped would chance get away spreading general alarm,HPL
id21164,mein gott take vor shicken oh replied much alarmed chicken certainly,EAP
id08820,perpetual fear jaundiced complexion shrivelled whole person,MWS
id17407,sun set atmosphere grew dim evening star longer shone companionless,MWS
id05166,rain ceased clouds sunk behind horizon evening sun descended swiftly western sky,MWS
id07779,nothing however occurred except hill noises day came many hoped new horror gone swiftly come,HPL
id14749,state rooms sufficiently roomy two berths one,EAP
id10634,getting dark ancient roofs chimney pots outside looked queer bulls eye window panes,HPL
id03555,marched various parts southern counties quartered deserted villages part sent back island season winter far revived energy passes country defended increase numbers prohibited,MWS
id26727,suffered little cold dampness atmosphere unpleasant ample space car enabled us lie means cloaks blankets sufficiently well,EAP
id06312,dared conquered till sold death sole condition thou shouldst follow fire war plague unite thy destruction raymond safety thee heavy heart listened changes delirium made bed cloaks violence decreased clammy dew stood brow paleness death succeeded crimson fever placed cloaks,MWS
id24464,seemed interior house old house apparently details inhabitants constantly changing could never certain faces furniture even room since doors windows seemed great state flux presumably mobile objects,HPL
id18006,gentleman clothed head foot richly embroidered black silk velvet pall wrapped negligently around form fashion spanish cloak,EAP
id04459,pigeons appeared distressed extreme struggled escape cat mewed piteously tongue hanging mouth staggered fro car influence poison,EAP
id06749,window panes gone,HPL
id11062,panted gasped breath could doubt design tormentors oh unrelenting oh demoniac men shrank glowing metal centre cell,EAP
id01571,great difficulty gained feet looking dizzily around first struck idea among breakers terrific beyond wildest imagination whirlpool mountainous foaming ocean within engulfed,EAP
id03152,next morning delivered letters introduction paid visit principal professors,MWS
id06412,raymond make end without drawing vivid glowing colours splendour kingdom opposition commercial spirit republicanism,MWS
id10155,celebrated magazine sustain evidently tremendous expenses understand,EAP
id24823,week two visibly faded course months hardly discernible naked eye,HPL
id06377,stranger learned twenty words first lesson indeed understood profited others,MWS
id01222,people looked coming struggle would great degree decisive case victory next step would siege constantinople greeks,MWS
id10142,could cavity detected sounding,EAP
id08521,lieutenant instance man wonderful courage enterprise madly desirous glory rather word phrase characteristically advancement profession,MWS
id13267,within twenty four hours machine near table generate waves acting unrecognised sense organs exist us atrophied rudimentary vestiges,HPL
id06001,everybody got aout idee dyin excep canoe wars islanders sacrifices sea gods daown snake bite plague sharp gallopin ailments somethin afore cud take water simply looked forrad kind change want bit horrible arter,HPL
id22877,lips usual marble pallor,EAP
id02647,absolutely needless replied g,EAP
id10154,ahead lay sparse grass scrub blueberry bushes beyond naked rock crag thin peak dreaded grey cottage,HPL
id22605,near loved feel limit desires,MWS
id18034,sky serene unable rest resolved visit spot poor william murdered,MWS
id27266,say thing observed tell latin rem,EAP
id10676,said threw greatly shade cornelius agrippa albertus magnus paracelsus lords imagination fatality overthrow men disinclined pursue accustomed studies,MWS
id03833,ex queen gives idris adrian totally unfitted succeed earldom earldom hands becomes kingdom,MWS
id16135,pupils upon accession diminution light underwent contraction dilation observed feline tribe,EAP
id19878,keep largest branch one side said legrand,EAP
id25019,quivering awhile among draperies room length rested full view upon surface door brass,EAP
id18067,maternal affection rendered idris selfish beginning calamity thoughtless enthusiasm devoted care sick helpless,MWS
id23088,came like protecting spirit poor girl committed care interment friend conducted geneva placed protection relation,MWS
id06172,expected extravagant proposition remained silent awhile collecting thoughts might better combat fanciful scheme,MWS
id08466,matters assumed really serious aspect resolved call upon particular friend mr theodore sinivate knew least get something like definite information,EAP
id02547,system disadvantages even dangers,EAP
id04451,everyone seemed inclined silent though holding secret fear,HPL
id04853,still appeared public together lived roof,MWS
